question,answer
"What is your name?","I am your AI assistant chatbot."
"Who created you?","I was built using Python, Streamlit, and machine learning."
"How are you?","I'm functioning perfectly! How can I help you today?"
"What is Python?","Python is a high-level programming language used for web, ML, automation, data science, and more."
"How to install Python?","You can download Python from python.org. Make sure to choose the Windows installer (64-bit)."
"What is Streamlit?","Streamlit is a Python library used to build interactive web apps for machine learning and data science."
"How do I run a Streamlit app?","Use the command 'streamlit run app.py' in your terminal."
"What is machine learning?","Machine learning is a field of AI where systems learn patterns from data and improve over time."
"What is ml","Machine learning is a field of AI where systems learn patterns from data and improve over time."
"What is AI","AI, or artificial intelligence, is the ability of computer systems to perform tasks that typically require human intelligence, such as learning, problem-solving, and decision-making."
"Which Python version should I use?","Python 3.10 or 3.11 works best for most libraries."
"How do I create a virtual environment?","Use 'python -m venv venv' and activate it with 'venv\\Scripts\\activate'."
"What is pandas?","Pandas is a Python library used for data analysis and working with CSV or structured data."
"What is scikit-learn?","Scikit-learn is a machine learning library used for training ML models."
"Can you translate text?","Yes! This chatbot supports automatic language translation."
"Which languages can you understand?","I can understand many languages because I use translation before processing."
"Hello","Hello! How can I help you today?"
"Hi","Hi there! What can I do for you?"
"Good morning","Good morning! How can I assist you?"
"Thank you","You're welcome! Let me know if you need more help."
"Bye","Goodbye! Have a great day!"
"who are you","I'm a simple chatbot created to chat with you."
"in solapur which food is famous","Solapur is famous for its traditional Maharashtrian dishes like Jowar Bhakri and Zunka Bhakri, along with non-vegetarian specialties such as Khara Mutton (Mutton Achar). Other popular items include Shenga Chutney (groundnut chutney), Mirchi Pakora (chili fritters), Sangam Vada, and Misal Pav. The city also has a vibrant street food scene, with Pav Chutney being an iconic local favorite. "
"in solapur which place is famous","Solapur is famous for Bhuikot Fort, a 14th-century fort with a lake and animal park, and numerous Jain temples like the Parasnath Jain Temple. Other notable places include the Shri Siddeshwar Temple, the Great Indian Bustard Sanctuary for birdwatching, and the Ujjani Dam, a large reservoir. "
